,model,model_key,mnist_c_variant,accuracy
216,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,saturate,0.985
217,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,motion_blur,0.944
218,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,snow,0.9852
219,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,inverse,0.3031
220,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,impulse_noise,0.975
221,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,stripe,0.8961
222,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,quantize,0.9924
223,2022-05-03_021853_LCL5_d2__it15000_e3.pt,vgg19r_lcl__random_multiplex_selection,frost,0.9879
224,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,pixelate,0.9697
225,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,dotted_line,0.9782
226,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,gaussian_blur,0.8678
227,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,elastic_transform,0.8856
228,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,jpeg_compression,0.9903
229,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,speckle_noise,0.9842
230,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,identity,0.9918
231,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,glass_blur,0.9541
232,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,spatter,0.9706
233,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,translate,0.5776
234,2022-05-02_194431_LCL5_d2__it13750_e2.pt,vgg19r_lcl__random_multiplex_selection,fog,0.9873
